id,districtid,regionid,udise,collegename,stream,status,medium,subject,choicecode,ReservationDetails,SC,ST,VJA,NTB,NTC,NTD,OBC,SBC,SEBC,EWS,General,round_id
1,Thane,Amravati,272039878,Wilson Ghatkopar Institute,Science,U,English,Science,53286,Reserved,68.33,67.58999999999999,66.25999999999999,,67.67,62.739999999999995,70.91,,66.19999999999999,65.83,71.42999999999999,3
2,Nashik,Pune,272090488,Chhatrapati Ghatkopar Institute,Arts,G,English,Science,80703,Reserved,78.93,75.15,,78.19,77.99,76.37,73.93,73.75,71.95,73.53,79.23,3
3,Nagpur,Aurangabad,272015385,N.S. Andheri Junior College,Commerce,A,English,General,45085,Open,80.16,75.3,70.25999999999999,71.82,,73.0,72.58,71.2,78.87,74.17999999999999,77.28999999999999,1
4,Nagpur,Pune,272067135,K.C. Pune College of Arts & Science,Commerce,A,Marathi,Commerce,65747,Open,77.58,77.16,74.54,81.15,,,74.65,71.96000000000001,74.9,77.01,80.35000000000001,3
5,Pune,Pune,272028017,Gokhale Dadar Junior College,Science,G,English,Arts,66066,Reserved,82.61999999999999,81.53,84.13,83.17,87.3,82.91,88.75,84.21,90.24,84.07,88.25999999999999,1
6,Mumbai,Aurangabad,272043886,Tilak Pune College of Commerce,Science,A,Semi-English,Arts,81834,Open,81.58,78.69,81.26,73.30000000000001,71.78,,78.16000000000001,73.27000000000001,76.04,77.69,78.34,3
7,Pune,Nagpur,272061798,Dr. Dadar College of Arts & Science,Science,A,English,General,73553,Open,60.43,58.07,,,55.52,51.84,58.26,,57.03,50.99,56.54,1
8,Mumbai,Pune,272072852,Smt. Dadar Junior College,Arts,U,Marathi,Science,89266,Reserved,80.9,87.94,82.75,83.69,86.56,,81.32000000000001,90.39,82.57000000000001,83.36,85.89,1
9,Pune,Nashik,272029836,Gokhale Thane College of Arts & Science,Commerce,U,Marathi,Science,37265,Open,95.89,91.0,90.28999999999999,96.38,,,92.19999999999999,,98.6,94.67999999999999,98.28,2
10,Pune,Nashik,272079102,N.S. Mulund College of Commerce,Commerce,U,Marathi,Arts,10563,Open,88.92999999999999,83.85,88.32,90.32,86.94,87.24,89.39,,90.05999999999999,90.25999999999999,94.78,1
